age,job,marital,education,balance,housing,loan,day,month
59,admin.,married,secondary,2343,yes,no,5,may
56,admin.,married,secondary,45,no,no,5,may
41,technician,married,secondary,1270,yes,no,5,may
55,services,married,secondary,2476,yes,no,5,may
54,admin.,married,tertiary,184,no,no,5,may
42,management,single,tertiary,0,yes,yes,5,may
56,management,married,tertiary,830,yes,yes,6,may
60,retired,divorced,secondary,545,yes,no,6,may
37,technician,married,secondary,1,yes,no,6,may
28,services,single,secondary,5090,yes,no,6,may
38,admin.,single,secondary,100,yes,no,7,may
30,blue-collar,married,secondary,309,yes,no,7,may
29,management,married,tertiary,199,yes,yes,7,may
46,blue-collar,single,tertiary,460,yes,no,7,may
31,technician,single,tertiary,703,yes,no,8,may
35,management,divorced,tertiary,3837,yes,no,8,may
32,blue-collar,single,primary,611,yes,no,8,may
49,services,married,secondary,-8,yes,no,8,may
41,admin.,married,secondary,55,yes,no,8,may
